[09:03:36.969] [INFO   ] thread bguspl.set.Main.main() starting.
[09:03:36.982] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:03:36.989] [SEVERE ] configuration file was loaded from resources directory.
[09:03:38.298] [INFO   ] thread dealer starting.
[09:03:38.299] [INFO   ] thread dealer starting.
[09:03:38.304] [SEVERE ] updating countdown to 9223370329298957503
[09:03:38.305] [SEVERE ] updating countdown to 9223370329298957502
[09:03:38.307] [SEVERE ] updating countdown to 9223370329298957500
[09:03:38.309] [SEVERE ] updating countdown to 9223370329298957498
[09:03:38.311] [SEVERE ] updating countdown to 9223370329298957496
[09:03:38.313] [SEVERE ] updating countdown to 9223370329298957494
[09:03:38.314] [SEVERE ] updating countdown to 9223370329298957493
[09:03:38.316] [SEVERE ] updating countdown to 9223370329298957491
[09:03:38.317] [SEVERE ] updating countdown to 9223370329298957490
[09:03:38.319] [SEVERE ] updating countdown to 9223370329298957488
[09:03:38.321] [SEVERE ] updating countdown to 9223370329298957486
[09:03:38.323] [SEVERE ] updating countdown to 9223370329298957484
[09:03:38.325] [SEVERE ] updating countdown to 9223370329298957482
[09:03:38.327] [SEVERE ] updating countdown to 9223370329298957480
[09:03:38.329] [SEVERE ] updating countdown to 9223370329298957478
[09:03:38.330] [SEVERE ] updating countdown to 9223370329298957477
[09:03:38.332] [SEVERE ] updating countdown to 9223370329298957475
[09:03:38.334] [SEVERE ] updating countdown to 9223370329298957473
[09:03:38.336] [SEVERE ] updating countdown to 9223370329298957471
[09:03:38.338] [SEVERE ] updating countdown to 9223370329298957469
[09:03:38.340] [SEVERE ] updating countdown to 9223370329298957467
[09:03:38.342] [SEVERE ] updating countdown to 9223370329298957465
[09:03:38.344] [SEVERE ] updating countdown to 9223370329298957463
[09:03:38.345] [SEVERE ] updating countdown to 9223370329298957462
[09:03:38.347] [SEVERE ] updating countdown to 9223370329298957460
[09:03:38.349] [SEVERE ] updating countdown to 9223370329298957458
[09:03:38.351] [SEVERE ] updating countdown to 9223370329298957456
[09:03:38.353] [SEVERE ] updating countdown to 9223370329298957454
[09:03:38.354] [SEVERE ] updating countdown to 9223370329298957453
[09:03:38.356] [SEVERE ] updating countdown to 9223370329298957451
[09:03:38.358] [SEVERE ] updating countdown to 9223370329298957449
[09:03:38.360] [SEVERE ] updating countdown to 9223370329298957447
[09:03:38.361] [SEVERE ] updating countdown to 9223370329298957446
[09:03:38.363] [SEVERE ] updating countdown to 9223370329298957444
[09:03:38.365] [SEVERE ] updating countdown to 9223370329298957442
[09:03:38.366] [SEVERE ] updating countdown to 9223370329298957441
[09:03:38.368] [SEVERE ] updating countdown to 9223370329298957439
[09:03:38.370] [SEVERE ] updating countdown to 9223370329298957437
[09:03:38.372] [SEVERE ] updating countdown to 9223370329298957435
[09:03:38.375] [SEVERE ] updating countdown to 9223370329298957432
[09:03:38.376] [SEVERE ] updating countdown to 9223370329298957431
[09:03:38.378] [SEVERE ] updating countdown to 9223370329298957429
[09:03:38.380] [SEVERE ] updating countdown to 9223370329298957427
[09:03:38.382] [SEVERE ] updating countdown to 9223370329298957425
[09:03:38.384] [SEVERE ] updating countdown to 9223370329298957423
[09:03:38.385] [SEVERE ] updating countdown to 9223370329298957422
[09:03:38.387] [SEVERE ] updating countdown to 9223370329298957420
[09:03:38.389] [SEVERE ] updating countdown to 9223370329298957418
