[18:43:17.292] [INFO   ] thread bguspl.set.Main.main() starting.
[18:43:17.302] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:43:17.310] [SEVERE ] configuration file was loaded from resources directory.
[18:43:18.534] [INFO   ] thread dealer starting.
[18:43:18.536] [INFO   ] thread dealer starting.
[18:43:18.537] [INFO   ] thread 0  starting.
[18:43:18.538] [INFO   ] thread 1  starting.
[18:43:18.559] [SEVERE ] updating countdown to 59998
[18:43:18.570] [SEVERE ] updating countdown to 59987
[18:43:18.572] [SEVERE ] updating countdown to 59985
[18:43:18.576] [SEVERE ] updating countdown to 59982
[18:43:18.578] [SEVERE ] updating countdown to 59979
[18:43:18.580] [SEVERE ] updating countdown to 59977
[18:43:18.585] [SEVERE ] updating countdown to 59972
[18:43:18.588] [SEVERE ] updating countdown to 59969
[18:43:18.590] [SEVERE ] updating countdown to 59967
[18:43:18.592] [SEVERE ] updating countdown to 59965
[18:43:18.594] [SEVERE ] updating countdown to 59963
[18:43:18.596] [SEVERE ] updating countdown to 59961
[18:43:18.598] [SEVERE ] updating countdown to 59959
[18:43:18.601] [SEVERE ] updating countdown to 59956
[18:43:18.603] [SEVERE ] updating countdown to 59954
[18:43:18.605] [SEVERE ] updating countdown to 59952
[18:43:18.607] [SEVERE ] updating countdown to 59950
[18:43:18.609] [SEVERE ] updating countdown to 59948
[18:43:18.610] [SEVERE ] updating countdown to 59947
[18:43:18.613] [SEVERE ] updating countdown to 59944
[18:43:18.615] [SEVERE ] updating countdown to 59942
[18:43:18.617] [SEVERE ] updating countdown to 59940
[18:43:18.619] [SEVERE ] updating countdown to 59938
[18:43:18.621] [SEVERE ] updating countdown to 59936
[18:43:18.623] [SEVERE ] updating countdown to 59934
[18:43:18.625] [SEVERE ] updating countdown to 59932
[18:43:18.627] [SEVERE ] updating countdown to 59930
[18:43:18.628] [SEVERE ] updating countdown to 59929
[18:43:18.630] [SEVERE ] updating countdown to 59927
[18:43:18.632] [SEVERE ] updating countdown to 59925
[18:43:18.634] [SEVERE ] updating countdown to 59923
[18:43:18.636] [SEVERE ] updating countdown to 59921
[18:43:18.637] [SEVERE ] updating countdown to 59920
[18:43:18.639] [SEVERE ] updating countdown to 59918
[18:43:18.641] [SEVERE ] updating countdown to 59916
[18:43:18.642] [SEVERE ] updating countdown to 59915
[18:43:18.644] [SEVERE ] updating countdown to 59913
[18:43:18.646] [SEVERE ] updating countdown to 59911
[18:43:18.649] [SEVERE ] updating countdown to 59908
[18:43:18.651] [SEVERE ] updating countdown to 59906
